,TRACTCE,lon,lat
0,011001,-122.421248781,37.793709399
1,011101,-122.417418428,37.791456679
2,011102,-122.41900777199999,37.790300298999995
3,012001,-122.41939581,37.78838176099999
4,012002,-122.416664587,37.787720246999996
5,026001,-122.431783475,37.72429984499999
6,026100,-122.44614798799999,37.718570580000005
7,032802,-122.478481803,37.753216849000005
8,032902,-122.49053654599999,37.754556803
9,042700,-122.48555376400002,37.78391269699999
