GEOID,median_income,BFCA_15min,inc_q,acc_q
06075012202,54650,0.01122691089062644,0,0
06075025702,104250,0.0020440730760725476,0,0
06075031201,107648,0.009226242683911836,0,0
06075980200,-666666666,0.0005275366640186914,0,0
06075026003,99044,0.0023372597005085734,0,0
06075026404,83500,0.00019312475859405175,0,0
06075060502,42548,0.0010565878406287546,0,0
06075023103,28393,0.00636306911436446,0,0
06075025600,114250,0.0027696488793459537,0,0
06075025800,82546,0.0030961438345751,0,0
06075026002,119038,0.003500905295681151,0,0
06075061000,125327,0.0,0,0
06075060400,100583,0.0,0,0
06075026301,102131,0.0025744448201267187,0,0
06075026302,99091,0.0014940932947656855,0,0
06075026403,73750,0.00019312475859405175,0,0
06075026303,94167,0.0011887568958862949,0,0
06075026401,80563,0.00019312475859405175,0,0
06075026402,117230,0.00021419249841994232,0,0
06075980501,13569,0.0004125185633353501,0,0
06075017903,91750,0.0,0,0
06075047904,87494,0.0,0,0
06075012001,91040,0.007884204835813941,0,0
06075031401,102644,0.00635664831782012,0,0
06075011001,117750,0.007764459988418862,0,0
06075011102,101976,0.00733068013557708,0,0
06075012002,71619,0.009038109560085654,0,0
06075011101,112418,0.0063669928389831765,0,0
06075047902,126058,0.03631368033089094,0,0
06075042700,119276,0.006126108428676596,0,0
06075023400,80788,0.004483502870384952,0,0
06075047701,116750,0.011383424770272882,0,0
